dia,mes,anio,Tmax,Tmin
13,4,1961,25,10.3
14,4,1961,26.2,9.2
15,4,1961,24.7,13.2
16,4,1961,26,12.2
17,4,1961,26.8,14.2
18,4,1961,19.5,10.4
19,4,1961,19.1,4.9
20,4,1961,19.8,8.5
21,4,1961,22,9.2
22,4,1961,21,12.3
23,4,1961,18,9.3
24,4,1961,16.1,1.4
25,4,1961,19.2,6.7
26,4,1961,23.5,6.7
27,4,1961,16.4,1.5
28,4,1961,19,7.5
29,4,1961,24.6,7.3
30,4,1961,21.7,5.4
1,5,1961,21,6.5
2,5,1961,23.7,7
3,5,1961,23.7,9
4,5,1961,24.5,10.6
5,5,1961,24.9,12
6,5,1961,23.5,14.2
7,5,1961,21.7,13.6
8,5,1961,17.2,5.4
9,5,1961,19.4,8.8
10,5,1961,15.4,-0.7
11,5,1961,20.4,4.3
12,5,1961,23.3,7.3
13,5,1961,16.4,12.2
14,5,1961,18.4,12.5
15,5,1961,19.5,9.5
16,5,1961,16.6,12.6
17,5,1961,20.7,13
18,5,1961,16,8.9
19,5,1961,14.4,0.6
20,5,1961,18,1.8
21,5,1961,20,5.3
22,5,1961,20.5,4.7
23,5,1961,22.5,7
24,5,1961,24,6.2
25,5,1961,25.2,11.5
26,5,1961,22,14.9
27,5,1961,15.6,12.3
28,5,1961,17.6,8.5
29,5,1961,23.6,13.8
30,5,1961,24,16.9
31,5,1961,23.2,12.8
1,6,1961,14.6,3.1
2,6,1961,15.8,5.5
3,6,1961,20.5,13
4,6,1961,13.6,5.4
5,6,1961,13.5,-1.4
6,6,1961,15.2,6.3
7,6,1961,22.2,15.2
8,6,1961,20.6,10.1
9,6,1961,10.7,5
10,6,1961,10.4,-0.4
11,6,1961,9,-2.3
12,6,1961,9.7,-4.3
13,6,1961,8.1,-4.6
14,6,1961,10.2,-3.8
15,6,1961,12,-2.6
16,6,1961,14.8,1.1
17,6,1961,14.7,4.3
18,6,1961,16.2,0.9
19,6,1961,14.2,-3.2
20,6,1961,13.1,2.6
21,6,1961,19,0.6
22,6,1961,13.4,9.9
23,6,1961,16,6
24,6,1961,23.3,10.9
25,6,1961,22,12.7
26,6,1961,27.4,17.6
27,6,1961,22.1,12.2
28,6,1961,13,5.1
29,6,1961,13.9,-1
30,6,1961,12.5,6.9
1,7,1961,14,9.8
2,7,1961,13.8,5.8
3,7,1961,16.5,1.4
4,7,1961,15,6.1
5,7,1961,14.4,10.8
6,7,1961,10.8,4.4
7,7,1961,9.4,-1.9
8,7,1961,10,-3.2
9,7,1961,9.6,-1.3
10,7,1961,12,4.6
11,7,1961,12.7,0.5
12,7,1961,13.4,4.7
13,7,1961,16.2,3.3
14,7,1961,15.6,-1.5
15,7,1961,18.2,0.2
16,7,1961,14.6,5.2
17,7,1961,14.9,4.6
18,7,1961,16.8,9.9
19,7,1961,22.6,13.1
20,7,1961,20.6,12.6
21,7,1961,13.2,5.2
22,7,1961,18.2,2.7
23,7,1961,16.9,7.7
24,7,1961,16.4,5.4
25,7,1961,13.6,5
26,7,1961,12,-2.2
27,7,1961,13.8,-1.7
28,7,1961,12.7,-0.8
29,7,1961,15.6,2.7
30,7,1961,16.4,2.3
31,7,1961,18,5.8
1,8,1961,16.2,8.6
